iter	Logloss
0	0.3393633531
1	0.1613171579
2	0.07945995849
3	0.04159776503
4	0.0232958591
5	0.01392323116
6	0.008929853993
7	0.006121841954
8	0.004419521044
9	0.003417854355
10	0.002766959337
11	0.002324085082
12	0.002048726787
13	0.001830847395
14	0.001687467615
15	0.001582824989
16	0.001498097509
17	0.001445723794
18	0.001400455744
19	0.001368234159
20	0.001341843419
21	0.001321123697
22	0.001302831333
23	0.001289121226
24	0.001278236437
25	0.001264129455
26	0.001252050316
27	0.001241355772
28	0.001234697002
29	0.001229784649
30	0.001225030439
31	0.00121868929
32	0.001213378722
33	0.001210011405
34	0.001202286775
35	0.001198290528
36	0.001190983042
37	0.001188404576
38	0.001185113182
39	0.001182609407
40	0.001177531553
41	0.001174850946
42	0.001172588407
43	0.001168985197
44	0.001165498371
45	0.001158854629
46	0.001156362176
47	0.001154294477
48	0.001151287583
49	0.001149495168
50	0.00114582225
51	0.001143000766
52	0.001138505784
53	0.001136029425
54	0.001132554292
55	0.001129550085
56	0.00112676588
57	0.001124354892
58	0.001123171176
59	0.001120621393
60	0.001117145376
61	0.001114438173
62	0.001112716604
63	0.001110208876
64	0.001108887456
65	0.001107149882
66	0.001105645908
67	0.001104292194
68	0.00110075874
69	0.001096832762
70	0.001096147318
71	0.0010944689
72	0.001092183133
73	0.001089334499
74	0.00108830465
75	0.001086269055
76	0.001084035383
77	0.001079889505
78	0.001078069932
79	0.001076832547
80	0.001075371619
81	0.001073361854
82	0.001071764522
83	0.001070176189
84	0.001068767061
85	0.001066230834
86	0.001064189479
87	0.001061308638
88	0.001059860943
89	0.001057777838
90	0.001056180602
91	0.001053983511
92	0.001052706639
93	0.001051612752
94	0.001048653816
95	0.001047834198
96	0.001046239503
97	0.00104409207
98	0.001042761089
99	0.001041291196
100	0.001037939327
101	0.001035149991
102	0.001034239691
103	0.001032527064
104	0.001031625986
105	0.001029254566
106	0.001026257773
107	0.00102579129
108	0.001024630636
109	0.00102291545
110	0.001021559394
111	0.001020066854
112	0.001019234942
113	0.00101852909
114	0.001016861165
115	0.001014416899
116	0.001013184394
117	0.001012287198
118	0.00101080126
119	0.001009211642
120	0.001006682473
121	0.001004763036
122	0.001003410642
123	0.0010014272
124	0.001000012042
125	0.000999065075
126	0.0009988303268
127	0.0009975390908
128	0.0009970320125
129	0.0009965592539
130	0.0009953188538
131	0.0009945874868
132	0.0009926859366
133	0.0009913415291
134	0.0009897658677
135	0.0009891367882
136	0.0009874526885
137	0.0009867008837
138	0.0009852850096
139	0.0009846551994
140	0.0009828542607
141	0.0009806908188
142	0.0009792405664
143	0.0009780314656
144	0.0009777007585
145	0.0009759243935
146	0.0009749715347
147	0.0009735475957
148	0.0009729619582
149	0.000971890201
150	0.000970504913
151	0.0009694794349
152	0.0009671845307
153	0.0009660368375
154	0.0009646109917
155	0.0009643799466
156	0.0009637280344
157	0.0009633774451
158	0.0009625439907
159	0.0009615853921
160	0.0009606291898
161	0.0009597680254
162	0.000959513837
163	0.0009587247508
164	0.0009583375551
165	0.0009567919846
166	0.0009562178114
167	0.000954903381
168	0.0009530938234
169	0.0009514804384
170	0.0009512551514
171	0.000949477187
172	0.0009488324302
173	0.0009479894634
174	0.0009477864459
175	0.0009472108484
176	0.0009456586175
177	0.0009444111029
178	0.0009440463158
179	0.0009433640971
180	0.0009414478982
181	0.0009410919837
182	0.0009401750833
183	0.0009397632746
184	0.0009389591472
185	0.0009382712979
186	0.0009364454572
187	0.0009360767139
188	0.0009337180426
189	0.0009328160037
190	0.0009326015617
191	0.0009305437015
192	0.0009289685585
193	0.0009280309136
194	0.0009262851891
195	0.0009256995301
196	0.0009246936271
197	0.0009239851259
198	0.0009238371412
199	0.0009233521224
